numero_emprunt	numero_detail	isbn	numero_exemplaire	date_de_rendu
1	1	2038704015	1	Sysdate-195
1	2	2070367177	2	Sysdate-190
2	1	2080720872	1	Sysdate-180
2	2	2203314168	1	Sysdate-179
3	1	2038704015	1	Sysdate-170
4	1	2203314168	2	Sysdate-155
4	2	2080720872	1	Sysdate-155
4	3	2266085816	1	Sysdate-159
5	1	2038704015	2	Sysdate-140
6	1	2266085816	2	Sysdate-141
6	2	2080720872	2	Sysdate-130
6	3	2746021285	2	Sysdate-133
7	1	2070367177	2	Sysdate-100
8	1	2080720872	1	Sysdate-116
9	1	2038704015	1	Sysdate-100
10	1	2080720872	2	Sysdate-107
10	2	2746026090	1	Sysdate-78
11	1	2746021285	1	Sysdate-81
12	1	2203314168	1	Sysdate-86
12	2	2038704015	1	Sysdate-60
13	1	2070367177	1	Sysdate-65
14	1	2266091611	1	Sysdate-66
15	1	2266085816	1	Sysdate-50
16	1	2253010219	2	Sysdate-41
16	2	2070367177	2	Sysdate-41
17	1	2877065073	2	Sysdate-36
18	1	2070367177	1	Sysdate-14
19	1	2746026090	1	Sysdate-12
20	1	2266091611	1	NULL
20	2	2253010219	1	NULL
