isbn	titre	auteur	code_genre	editeur
2203314168	LEFRANC-L ultimatum	Martin Carin 	BD	Casterman
2746021285	HTML entraînez-vous pour maîtriser le code source	Luc Van Lancker 	INF	ENI
2746026090	Oracle 10g SQL PL/SQL SQL*Plus	J. Gabillaud 	INF	ENI
2266085816	Pantagruel	F. Robert 	ROM	Pocket
2266091611	Voyage au centre de la terre	Jules VERNE 	ROM	Pocket
2253010219	Le crime de l’Orient Express	Agatha Christie 	POL	Livre de Poche
2070400816	Le Bourgois gentilhomme	Molière 	THE	Gallimard
2070367177	Le curé de Tours	Honoré de Balzac 	ROM	Gallimard
2080720872	Boule de suif	G. de Maupassant 	REC	Flammarion
2877065073	La gloire de mon père	Marcel Pagnol 	ROM	Fallois
2020549522	L’aventure des manuscrits de la mer morte	NULL	REC	Seuil
2253006327	Vingt mille lieues sous les mers	Jules Verne 	ROM	LGF
2038704015	De la terre à la lune	Jules Verne 	ROM	Larousse
